Job	Company	Salary	Location
Data Analyst, PNA	New York City NYC HOUSING AUTHORITY	89349.0	Manhattan, NY
RESEARCH SCIENTIST	New York City HRA/DEPT OF SOCIAL SERVICES	78803.0	Manhattan, NY
Policy and Data Analyst	New York City DEPT OF HEALTH/MENTAL HYGIENE	65385.5	Manhattan, NY
Program Officer	New York City ADMIN FOR CHILDREN'S SVCS	79796.5	Manhattan, NY
Distinguished Data Scientist	Verizon	155500.0	New York, NY 10007 (Financial District area)
Data Scientist	Affinity Health Plan	103500.0	Bronx, NY
Data Scientist Senior	Northeast Information Discovery	107500.0	Canastota, NY
Data Scientist, Analytics	TripleLift	115500.0	New York, NY
Data Scientist - Cryptography and Internet Technology, Marke...	Facebook	142000.0	New York, NY 10017 (Midtown area)
Data Scientist	Phreesia	128500.0	New York, NY 10010 (Gramercy area)
Data Scientist	Vettery	121000.0	New York, NY
Sr. Data Science Developer - Refinitiv Labs	Refinitiv	173500.0	New York, NY 10036
Data Scientist	S&P Global Ratings	135000.0	New York, NY 10041 (Financial District area)
Interdisciplinary General Engineer/Operations Research Analy...	US Department of Homeland Security	102121.0	New York, NY
DIRECTOR OF DATA ANALYTICS AND RESEARCH	New York City DEPARTMENT OF CORRECTION	98402.5	Queens, NY
Data Scientist	Rauxa	135000.0	New York, NY
DATA RESEARCH SPECIALIST	New York City HRA/DEPT OF SOCIAL SERVICES	82653.0	Manhattan, NY
Data Scientist, Natural Language Processing	Etsy	136000.0	New York, NY
HIV Phylogenetic Data Analysis Group Leader	New York City DEPT OF HEALTH/MENTAL HYGIENE	91931.0	Manhattan, NY
Program Analytics / Data Analysis Manager	Osborne Association	57500.0	Bronx, NY 10455 (South Bronx area)
DATA AND REPORTING SPECIALIST	New York City HRA/DEPT OF SOCIAL SERVICES	91004.0	Manhattan, NY
Data Scientist, Division Management & Systems Coordination	New York City DEPT OF HEALTH/MENTAL HYGIENE	82012.5	Queens, NY
Senior Data Analyst	New York City DEPARTMENT OF TRANSPORTATION	73873.5	Manhattan, NY
Inventive Scientist (Labs - Data Science and AI Research)	AT&T	157500.0	New York, NY
Project Associate/Research Analyst (REF# SJ042)	Empire State Development, NYS	52305.0	Albany, NY
Research Scientist 6, Nathan Kline Research Institute – Cent...	Mental Health, Office of	34130.0	Orangeburg, NY
Special Investigator Advisor	New York City BOARD OF CORRECTION	82653.0	New York, NY
Program Officer	NYC Administration for Children's Services	79796.5	Manhattan, NY
Core Data Science, PhD University Grad	Facebook	139500.0	New York, NY 10017 (Midtown area)
Deputy Lead Data Scientist	New York City DEPT OF INFO TECH & TELECOMM	117500.0	Brooklyn, NY
Director, Machine Learning Data Scientist	KPMG	141500.0	New York, NY 10261 (Murray Hill area)
Data Science Lead	Comcast	128500.0	New York, NY 10036
Title: Institutional Research Analyst	Hunter College, CUNY	42619.5	New York, NY
Director of Data Analytics	New York City DEPT OF DESIGN & CONSTRUCTION	110966.0	Queens, NY
Data Scientist	AdTheorent	126000.0	New York, NY 10013 (Tribeca area)
Data and Technology Analyst, Bureau of Emergency Field Opera...	New York City DEPT OF HEALTH/MENTAL HYGIENE	79152.5	Queens, NY
Full Stack Developer with a specialty in Natural Language Pr...	The New School	85000.0	New York, NY
Data Scientist - Principal - New York, NY	Clarity Insights	145000.0	New York, NY
GIS Analyst	New York City DEPT OF ENVIRONMENT PROTECTION	62693.0	Queens, NY
Computational Scientist	Research Foundation of The City University of New...	56000.0	New York, NY
Research Scientist	New York City DEPT OF HEALTH/MENTAL HYGIENE	65385.5	Queens, NY
Evaluation Data Analyst, Bureau of Primary Care Information...	New York City DEPT OF HEALTH/MENTAL HYGIENE	77152.5	Queens, NY
Senior Advisor for Intergovernmental Affairs	New York City DEPT OF ENVIRONMENT PROTECTION	82321.5	Manhattan, NY
POLICY and OPERSTIONS RESEARCH | ANALYST	New York City OFFICE OF MANAGEMENT & BUDGET	61797.5	Manhattan, NY
Strategic Research Analyst	Service Employees International Union	57500.0	New York, NY 10036
Project Director	New York City BOARD OF CORRECTION	78803.0	New York, NY
Data Scientist and Quantitative Dev Lead	Liquidnet	177000.0	New York, NY
Trainee (ATLAS/Back End Developer), Global Health	Mount Sinai	109000.0	New York, NY
Software Engineer, Data Science / Real Time Platform (Java,...	AppNexus	127500.0	New York, NY 10010 (Gramercy area)
Data Integrity Analyst/ Bureau of Mental Health	New York City DEPT OF HEALTH/MENTAL HYGIENE	68810.5	Queens, NY
Quality Management Specialist	New York City DEPT OF HEALTH/MENTAL HYGIENE	65385.5	Queens, NY
Cardiovascular Research Analyst	New York City DEPT OF HEALTH/MENTAL HYGIENE	91931.0	Queens, NY
POLICY ADVISOR	New York City DEPT OF ENVIRONMENT PROTECTION	85606.5	Manhattan, NY
Cost Price Analyst, Office of Vendor Research and Price Anal...	New York City Department of Education .	70370.0	Brooklyn, NY 11236 (Canarsie area)
AI Data Science Sr. Manager	Accenture	136000.0	New York, NY 10011 (Chelsea area)
Director of Data Analysis, Bureau of Early Intervention	New York City DEPT OF HEALTH/MENTAL HYGIENE	92304.0	Queens, NY
Project Assistant, Bureau of Alcohol and Drug Use Prevention...	New York City DEPT OF HEALTH/MENTAL HYGIENE	65385.5	Queens, NY
Product Design Lead UX Data Sciences	Publicis Media	147500.0	New York, NY 10014 (West Village area)
Senior Manager- Data Science	Discovery Communications, LLC	161000.0	New York, NY 10022 (Midtown area)
Controller	BuzzFeed	138000.0	New York, NY 10013 (Tribeca area)
Research Director (Health & Mental Health)	New York City BOARD OF CORRECTION	78803.0	New York, NY
Child Welfare Analyst	New York City ADMIN FOR CHILDREN'S SVCS	77035.0	Manhattan, NY
Permit Manager	New York City DEPT OF ENVIRONMENT PROTECTION	55435.0	Queens, NY
Technical Assistance Specialist, Bureau of Alcohol and Drug...	New York City DEPT OF HEALTH/MENTAL HYGIENE	65385.5	Queens, NY
Environmental Scientist, Bureau of Environmental Disease and...	New York City DEPT OF HEALTH/MENTAL HYGIENE	82175.0	Manhattan, NY
Systems Support Engineer	Two Sigma Investments, LLC.	107000.0	New York, NY
AVP - PVAI - Inhouse SB Data Scientist - CPG - US	Genpact	155500.0	New York, NY 10016 (Gramercy area)
Research Coordinator, Bureau of Vital Statistics	New York City DEPT OF HEALTH/MENTAL HYGIENE	62272.0	Manhattan, NY
Quality Assurance & Operations Coordinator, Bureau of Sexual...	New York City DEPT OF HEALTH/MENTAL HYGIENE	82653.0	Queens, NY
Digital Asset Librarian	Environmental Defense Fund	83500.0	New York, NY 10010 (Gramercy area)
